id	category	title	description	steps	materials	time_mins	level	goal	success	frequency	xp	tags
T070	MAN	Practise Entering a Room Politely	Practise walking into a room where people are talking or working without disrupting them.	1. Before entering, listen for a moment — is a conversation happening? Is someone concentrating?|2. Enter quietly without slamming the door|3. Wait for a natural pause before speaking|4. Make eye contact and speak at a normal volume|5. Reflect: how was your entry compared to usual?	none	5	2	Manners, social awareness, reading situations	You entered a room without disrupting an ongoing conversation or activity	as_needed	25	manners,social awareness,politeness,entering rooms
T071	MAN	Table Manners Practice Meal	At one meal today, practise every table manner you know.	1. Sit up straight at the table|2. Wait until everyone is served before starting|3. Eat with your mouth closed|4. Do not speak with food in your mouth|5. Put your phone away|6. Say please and thank you|7. At the end, take your plate to the kitchen	fork, knife, table, meal	30	1	Table manners, social skills, mealtime behaviour	You completed a full meal practising all six manners — check each one at the end	weekly	15	manners,table manners,meals,social skills
T072	MAN	Practise Making and Receiving Eye Contact	Spend one day consciously making eye contact when talking to and being talked to.	1. In every conversation today, make soft eye contact when you are listening|2. Do not stare — it is okay to look away briefly but keep returning|3. When someone is talking to you, put away any device and look at them|4. At the end of the day, notice: did people seem to respond to you differently?	none	varies	2	Communication, respect, presence in conversation	You made conscious eye contact in at least 4 conversations during the day	daily	25	manners,communication,eye contact,respect
T073	MAN	Queue Patiently	Practise waiting in a queue without complaining, checking your phone or pushing.	1. The next time you are in a queue — shops, school, anywhere|2. Do not check your phone|3. Do not sigh loudly or complain|4. Find something to notice or think about|5. When you reach the front, be ready and polite|6. Reflect: how did it feel to wait patiently?	none	varies	1	Patience, self-regulation, consideration for others	You waited in a queue without using your phone or complaining	as_needed	15	manners,patience,queuing,self-regulation
T074	MAN	Disagree Respectfully	Practise disagreeing with someone without being rude or dismissive.	1. Think of a situation where you disagreed with someone recently|2. Write what you actually said|3. Rewrite it using this structure: I understand what you are saying. I see it differently because [your reason]. Could we think about it another way?|4. Practise saying this out loud|5. Use it the next time you disagree	notebook, pen	10	3	Respectful disagreement, assertiveness, communication	You have written and practised a respectful disagreement response that acknowledges the other person	as_needed	40	manners,disagreement,communication,assertiveness
T075	CARE	Screen Time Awareness Day	Track exactly how long you spend on screens today and what you used them for.	1. Write down the time every time you pick up a phone, tablet or sit at a computer|2. Write what you were doing on each device|3. Add up the total screen time at the end of the day|4. Write whether the time felt well-used or wasted|5. Set one intention for tomorrow based on what you noticed	notebook, pen	5	3	Digital awareness, self-monitoring, intentional use of technology	You have a full record of today's screen time with an honest reflection and one intention for tomorrow	weekly	40	self-care,screens,technology,self-awareness,tracking
T076	FOC	Read and Summarise	Read a chapter or article and then summarise it in your own words.	1. Choose a chapter from a book or an article about something you are curious about|2. Read it fully without stopping|3. Put it away|4. Write a 3–5 sentence summary in your own words without looking at the original|5. Read back what you wrote	book or article, notebook, pen	20	2	Reading comprehension, memory, active learning	You have a 3–5 sentence summary written entirely in your own words without looking at the source	as_needed	25	focus,reading,comprehension,memory
T077	FOC	Learn Something New for 10 Minutes	Choose something you are curious about and spend 10 minutes learning about it.	1. Think of something you have always wanted to know more about — an animal, a country, a sport, a skill|2. Find a good source — a book, encyclopedia, reliable website|3. Spend exactly 10 minutes reading or watching about it|4. Write 3 things you learned|5. Share one of them with someone|6. Could be anything from how earthquakes work to how to draw animals	book, library book, or trusted website	10	1	Curiosity, learning habit, self-directed study	You wrote down 3 new things you learned and shared one with another person	weekly	15	focus,curiosity,learning,self-directed
T078	TASK	Finish What You Started	Today, finish every task you start before moving on to the next thing.	1. Before you begin anything, ask: can I finish this before I do something else?|2. If yes, do it completely|3. Do not switch to something else before it is done|4. Put a small tick or mark every time you finish something fully|5. At the end of the day, count your ticks	notebook, pen	varies	2	Follow-through, persistence, completeness	You have a list of completed tasks from today and none have been left half-done	daily	25	tasks,follow-through,discipline,habits
T079	GOAL	Visualise Success	Spend 5 minutes imagining yourself achieving a goal.	1. Choose one goal you are working toward|2. Find a comfortable quiet place|3. Close your eyes and imagine yourself completing or achieving that goal in detail — what does it look like? Feel like? Who is around you? What do you say or do?|4. Hold the image for the full 5 minutes, returning to it when your mind wanders|5. Open your eyes and write one sentence about what you imagined	none — journal optional	5	3	Goal motivation, positive thinking, mental practice	You spent the full 5 minutes visualising without giving up or opening your eyes early	as_needed	40	goals,visualisation,motivation,mindset
T080	FEEL	Notice What Makes You Feel Good	Make a list of everything that genuinely lifts your mood.	1. Get a notebook|2. Think back over the last few weeks|3. Write everything that made you feel good — even small things like a specific song, a smell, a food, a place, a person, a type of activity|4. Try to write at least 10 things|5. Put a star next to the 3 that work best for you|6. Keep this list somewhere you can find it when you are having a hard day	notebook, pen	10	2	Self-awareness, emotional regulation tool, positive coping strategies	You have a list of at least 10 things with 3 starred as most effective	as_needed	25	feelings,wellbeing,self-awareness,coping strategies
T081	MOR	Cold Shower or Cold Rinse	End your shower with 30 seconds of cold water for energy and alertness.	1. Take your normal shower|2. At the end, turn the temperature to cold|3. Stay under for 30 seconds — breathe slowly, do not panic|4. Turn the shower off|5. Notice how awake and energised you feel compared to most mornings	shower	varies	3	Physical alertness, resilience, morning energy	You completed 30 seconds of cold water at the end of your shower	daily	40	morning,self-care,energy,resilience,habits
T082	SOC	Ask Someone How They Really Are	Today, ask someone how they are — and actually listen to the answer.	1. Choose someone you care about|2. Ask: how are you really doing lately?|3. Listen without interrupting|4. Ask one follow-up question based on what they said|5. Do not share your own situation unless they ask|6. Reflect afterward: what did you learn about them?	none	10	2	Empathy, deep listening, strengthening relationships	You had a genuine conversation about how someone is really doing and asked a real follow-up question	daily	25	social,empathy,listening,relationships
T083	TASK	Two-Minute Rule	If a task takes less than two minutes, do it immediately without adding it to a list.	1. Pay attention today to small tasks that come up|2. Every time you notice something small that needs doing — replying to a message, washing a cup, putting something away — ask: will this take under two minutes?|3. If yes, do it immediately|4. At the end of the day, notice how clear your space and to-do list feel	none	varies	2	Productivity, reducing backlog, building an action habit	You completed all small tasks immediately throughout the day rather than deferring them	daily	25	tasks,productivity,habits,discipline
T084	ORG	Create a Study Schedule	Write a weekly study schedule showing when you will do each subject.	1. Look at what homework or study you have this week|2. Get a blank weekly timetable or draw one|3. Assign each subject or piece of work to a specific time slot|4. Be realistic — do not fill every hour|5. Include breaks and end times|6. Stick to the schedule for at least two days	paper, pen, homework diary	15	3	Study planning, time management, self-discipline	You have a written schedule with realistic time blocks for at least 3 subjects covering the current week	weekly	40	organisation,study,planning,time management
T085	FEEL	Draw or Colour Something	Spend 15 minutes drawing, colouring or creating something just for yourself.	1. Get paper and pens, pencils or art supplies|2. Choose something to draw or create — it does not need to be good|3. Spend 15 minutes creating without looking at your phone|4. You do not need to show it to anyone|5. Notice how you feel during and after	paper, drawing or colouring materials	15	1	Creative expression, relaxation, screen-free time	You spent 15 minutes creating without stopping or checking your phone	as_needed	15	feelings,creativity,wellbeing,screen-free,relaxation
T086	MAN	Speak in a Full Sentence	Practise giving full, clear answers instead of one-word replies.	1. Today, notice every time someone asks you a question|2. Answer in a full sentence, not just fine or yes or no|3. Include at least one specific detail — instead of good add something like it was good because we had PE|4. Make eye contact when you respond|5. At the end of the day, notice whether people seemed more interested in talking to you	none	varies	2	Communication skills, engagement, building conversation	You answered in full sentences at least 5 times today, each with a specific detail	daily	25	manners,communication,conversation,full sentences
T087	GOAL	Write a Letter to Your Future Self	Write a letter to yourself to read in one year's time.	1. Get several sheets of paper|2. Write the date and Dear [your name]|3. Write about who you are right now — what you care about, what you are working on, what you are worried about, what you hope for|4. Write what you hope to have achieved or changed by the time you read this|5. Seal the letter in an envelope, write the date to open it, and put it somewhere safe	paper, envelope, pen	20	3	Reflection, goal-setting, sense of self	You have written and sealed a letter to your future self with at least 4 paragraphs covering who you are now and what you hope for	as_needed	40	goals,reflection,self-awareness,writing
T088	FOC	No Social Media or News for a Day	Spend a full day without social media, news apps or YouTube and notice how it feels.	1. Decide in advance: no social media, news or YouTube for today|2. If you need to use your phone, use it only for calls, texts and school-related things|3. Replace that time with something real — exercise, reading, talking, creating, going outside|4. At the end of the day, write: how did I feel? What did I miss? What did I gain?	notebook, pen	varies	3	Digital detox, self-awareness, presence	You went a full day without social media and wrote a genuine reflection about how it felt	weekly	40	focus,screens,digital detox,self-awareness,habits
T089	CARE	Personal Hygiene Checklist	Work through a full personal hygiene routine completely on your own.	1. Shower or wash properly — hair, body, face|2. Brush teeth for 2 full minutes, top and bottom, all areas|3. Use deodorant|4. Put on clean underwear and clean clothes|5. Check your nails — trim if needed|6. Comb or brush your hair	shower or bath, toothbrush, toothpaste, deodorant, clean clothes, nail scissors	20	1	Personal hygiene, independence, self-care habits	All six steps are completed fully and independently without reminders	daily	15	self-care,hygiene,independence,habits
T090	TASK	Reflect on a Mistake Without Blame	Think about a mistake you made and learn from it rather than feeling bad about it.	1. Think of a mistake you made recently — something that went wrong or something you wish you had done differently|2. Write: what happened?|3. Write: what could I have done differently?|4. Write: what will I do next time?|5. End with: that is okay. I have learned something.	notebook, pen	10	3	Resilience, growth mindset, self-compassion, accountability	You have written all three reflection steps plus the closing affirmation without giving up on the exercise	as_needed	40	tasks,reflection,mistakes,growth mindset,resilience
