id	category	subcategory	level	audience	question	option_a	option_b	option_c	option_d	correct	explanation	hint	xp	tags
Q062	SIT	Testing behaviour	2	youth	Someone in your group makes a comment that seems like a joke but it is aimed directly at you. Everyone laughs. Then they watch to see how you react. What is probably happening?	They are being friendly	They are testing how you respond to being targeted — your reaction will tell them a lot about how to treat you going forward	They are just funny	It is nothing	b	Some dominant behaviour comes in the form of jokes. The joke is the test — how do you react? If you laugh along and shrink, it signals one thing. If you react calmly without performing upset, it signals another. Your response in that moment teaches people how to treat you. This is not about being hard — it is about not being easy to destabilise.	What are they watching for?	20	situations,testing behaviour,group dynamics,resilience
Q063	SIT	The quiet ally	2	youth	You notice that one person in your group always agrees with the dominant person, even when they clearly do not believe what they are saying. This person is most likely...	Telling the truth	Managing their safety in the group by staying on the dominant person's good side	Being honest	Very confident	b	Keeping yourself safe in a group sometimes means performing agreement even when you disagree. This is not weakness — it is often a very rational response to feeling unsafe. Understanding why people go along with things helps you see the whole picture of what is happening in a group, not just the surface.	What is that person protecting by agreeing?	20	situations,group dynamics,social safety,empathy
Q064	EMO	Anxiety vs. excitement	2	youth	You are about to do something important. Your heart is beating fast, your stomach feels nervous and you have lots of energy. You cannot tell if you are excited or anxious. This is because...	Something is physically wrong	Anxiety and excitement feel almost identical in the body — the difference is mostly in how you interpret the feeling	You are unwell	You are definitely anxious	b	Anxiety and excitement produce almost the same physical response — fast heart rate, adrenaline, heightened attention. The difference is the story you put on top of it. Telling yourself I am excited rather than I am anxious has been shown to genuinely improve performance. Your body cannot always tell the difference. Sometimes your words can choose for it.	What if this fast heart rate was energy, not fear?	20	emotions,anxiety,excitement,reframing
Q065	EMO	Safe person recognition	1	youth	When you walk into a room, you feel more relaxed near some people and more tense near others — without knowing exactly why. This is...	Random and meaningless	Your nervous system doing a rapid safety check based on past experience — it is trying to protect you	Just your imagination	Being dramatic	b	Your nervous system builds a database of experience — who has been kind, who has been unpredictable, who has been safe. It checks new situations against this database automatically and very quickly. That relaxed or tense feeling near certain people is not random. It is your system telling you what it has learned.	Your nervous system did that check before your thinking brain did.	10	emotions,safety,nervous system,intuition
Q066	THINK	Not taking the bait	3	youth	Someone says something provocative to you in front of a group — clearly trying to get a reaction. They want you to argue back so you look emotional and they look in control. The most powerful thing you can do is...	Argue back forcefully so people see you stand up for yourself	React emotionally to show how much it hurt	Stay calm, acknowledge what they said briefly, and move on — giving a non-reaction is the response they cannot use against you	Walk away without saying anything at all	c	Provocation is designed to produce a reaction that makes the provoked person look bad and the provoker look in control. Not taking the bait does not mean you agree with them or that you are weak — it means you understood the game and chose not to play it. Calm acknowledgement and moving on is a skill most adults never master.	What does not reacting take away from them?	30	think first,provocation,self-control,group dynamics
Q067	THINK	Borrowed confidence	2	youth	You notice that a kid who dominates your group only does it when their friends are around. Alone, they are noticeably quieter and more unsure. This tells you...	They have two different personalities	Their confidence is partly borrowed from the group — which means it is not as solid as it looks when it is just you and them	They are faking everything	They are two-faced	b	A lot of dominant or intimidating behaviour in groups is performed for the audience. The same person in a one-to-one situation is often quite different — more uncertain, more human. Understanding this does not mean you trust them automatically. It means their dominance is less about them being powerful and more about the group setting that performance up.	Who are they performing for?	20	think first,understanding others,group dynamics,confidence
Q068	SIT	Reading exclusion	2	youth	You walk up to a group of your classmates and the conversation changes slightly — topic shifts, people glance at each other, someone moves to close the circle a little. What is probably happening?	Nothing — you are being paranoid	The group is likely managing something they do not want you to hear or be part of right now	They all suddenly thought of the same new topic	They did not notice you	b	Exclusion is often silent — a shift in body language, a closed circle, a change of topic. Noticing these signals is not paranoia. It is information. What you do with that information is up to you — you might choose to move on, to address it calmly, or to simply note it and decide later. But not noticing it leaves you walking into situations without the full picture.	What changed the moment you arrived?	20	situations,exclusion,reading signals,self-protection
Q069	SIT	Fair witness	3	youth	Someone tells you something bad about a person who is not there to speak for themselves. You feel yourself immediately believing it. Before you fully believe it, the fairest thing to do is...	Tell everyone what you just heard	Believe it because the person telling you is your friend	Recognise that you are only hearing one side, and hold the judgement loosely until you have more information	Confront the person being talked about immediately	c	A fair witness is someone who waits for enough information before deciding. When someone tells you something about another person, they are presenting one version of reality — filtered through their feelings, their history and their reasons for telling you. This does not mean they are lying. It means you only have one piece of a bigger picture. Hold it that way.	You only heard one side. What might the other side include?	30	situations,fairness,gossip,critical thinking,judgement
Q070	EMO	Feeling flat after conflict	2	youth	After an argument with a friend, you feel flat, exhausted and a bit empty — even though you might have won the argument. This feeling is...	Strange and something to worry about	A normal emotional come-down — conflict uses a lot of energy and the body needs to recover	Proof that you should have lost the argument	Meaning you still feel guilty	b	Conflict activates your stress response — adrenaline, heightened alertness, fast thinking. When it ends, those stress chemicals gradually reduce and your body can feel flat or drained as a result. This is normal biology, not a sign something is wrong. It is also why rest after a difficult social situation is genuinely helpful.	Your body just ran a lot of emotional energy. Of course it needs to recover.	20	emotions,conflict,recovery,body signals
Q071	THINK	Standing still	2	youth	The dominant person in your group is trying to get everyone on one side of an argument. You have not decided what you think yet. The best response is...	Pick a side quickly so you are not left out	Tell them you have not decided yet and you want to think about it	Pretend to agree so there is no pressure	Leave the group	b	Not having formed an opinion yet is a completely valid position. Saying I have not decided, I want to think about it is honest, confident and refuses to be rushed. Groups sometimes create urgency around choosing sides that does not actually exist. You are allowed to take time.	Not deciding yet is different from not caring.	20	think first,independence,peer pressure,critical thinking
Q072	SIT	The group norm check	2	youth	Your friend group has an unspoken rule that everyone makes fun of a certain type of thing. You never really agreed to this but you joined in because everyone else did. This pattern is called...	Fitting in, which is fine	A group norm — an unwritten rule the group enforces without ever officially deciding on it	Being kind	Good teamwork	b	Group norms are invisible rules that form gradually without anyone deciding on them. They can be positive — always supporting each other — or negative — always mocking a certain thing. The important thing is noticing them. Once you name a group norm you are part of, you can decide if it is actually one you would choose.	Did you ever actually agree to this rule?	20	situations,group norms,social behaviour,identity
Q073	EMO	Feeling responsible for others' moods	2	youth	When someone close to you is in a bad mood, you feel anxious and try to fix it or cheer them up even if you did not cause it. This is...	Your responsibility because you care about them	A learned response — you have probably learned that someone's bad mood could affect you, so you try to manage it in advance	Simply being kind	A sign you are too sensitive	b	When we grow up around unpredictable moods, our nervous system can learn to scan for emotional temperature and get to work managing it before anything happens. This is a very useful survival tool — and it can also be exhausting and unfair to yourself. Noticing this pattern is the first step to choosing when to step in and when to leave other people's moods as theirs to manage.	Whose mood is it? Whose job is it?	20	emotions,responsibility,patterns,emotional safety
Q074	THINK	The compliment that feels wrong	2	youth	Someone gives you a compliment and instead of feeling good, something about it makes you feel slightly uncomfortable — like there is something else behind it. You should...	Ignore the feeling since a compliment is a compliment	Notice the discomfort as information — sometimes compliments are used to soften someone up or create a sense of obligation	Thank them and immediately do whatever they are about to ask	Tell them their compliment was suspicious	b	Compliments can be genuine — and they can also be social tools used to create goodwill before making a request, or to make someone feel selected and obligated. Your gut response to a compliment that felt slightly off is worth listening to. It does not mean the compliment was definitely manipulative. It means pay attention to what comes next.	Notice the feeling. Then watch what comes after the compliment.	20	think first,manipulation,social awareness,intuition
Q075	SIT	When silence means something	2	youth	You say something honest in a group and instead of a response, there is a pause and a few people exchange glances. This silence most likely means...	Everyone is thinking carefully about what you said	Something in what you said has landed differently to how you expected — either it surprised people or it touched something uncomfortable	You should never speak in groups	Everyone agrees with you	b	Silence and glances after you speak are information. They are not always negative — but they tell you something unexpected happened. Maybe you said something that surprised people, or contradicted an unspoken group belief, or named something people were avoiding. Sitting with that moment rather than immediately trying to undo what you said is a skill.	What might your words have touched that was already there?	20	situations,silence,reading the room,group dynamics
Q076	THINK	The strong inner voice	3	youth	You are in a difficult social situation and everyone is looking at you to react. You feel confused and pressured. Before you do anything, the most useful thing to access is...	What the group expects you to do	What the dominant person wants from you	A quiet, clear sense of what you actually think and feel, separate from the noise of the moment	The funniest possible response	c	The strong inner voice is not the loudest or most confident-sounding voice. It is the one underneath the noise — the one that knows what you actually think and feel when you stop performing. Getting to that voice, especially under social pressure, is one of the most important skills there is. It takes practice. But it is always there.	Underneath the pressure and the noise — what do you actually think?	30	think first,identity,self-awareness,confidence
Q077	EMO	Feeling out of place	1	youth	You are in a group and you feel like you do not quite fit — like everyone else understands something you do not. This feeling is...	Proof that you do not belong	Almost universal — most people in almost every group feel this way sometimes, even the ones who look most at ease	A sign you should leave and find different friends	Only felt by people who are different	b	The feeling of not quite belonging in a group is one of the most common human feelings there is. The people around you who look most comfortable are almost certainly also managing their own version of this. It does not mean you are wrong for the group. It often means the group has not yet done enough work to make everyone feel genuinely included.	If you could see inside the other people's heads right now, what might you find?	10	emotions,belonging,social anxiety,universality
Q078	SIT	Name what you see	3	youth	A dominant classmate keeps interrupting you every time you speak, but does not interrupt others. You have noticed this pattern over several days. The most useful first step is...	Ignore it — bringing it up will make things worse	Tell everyone in the group what is happening	Name it to yourself precisely first: they interrupt me specifically, not others — that is a pattern, not an accident	Interrupt them back as often as possible	c	Before you can respond to a pattern, you need to name it clearly to yourself. Not they are horrible, which is a feeling — but they interrupt me, specifically, repeatedly, which others do not experience. That precise naming moves you from emotional reaction to clear-eyed understanding. From that place, you can decide how — or whether — to address it.	Name the behaviour precisely. Separate it from the feeling it gives you.	30	situations,patterns,naming behaviour,assertiveness
Q079	EMO	The mask at school	3	youth	You feel like you perform a version of yourself at school that is quite different from who you are at home. This is...	Proof you are two-faced or dishonest	Common and often necessary — different contexts call for different versions of ourselves — but worth checking if the school version ever feels like too much effort	Confusing and should be ignored	Only experienced by you	b	Most people carry different versions of themselves in different settings. The question is not whether you have a school version — almost everyone does — but whether that version costs you too much. If performing who you are at school leaves you exhausted, or feels very far from who you actually are, that gap is worth understanding.	How far is your school version from your home version? What is the distance costing you?	30	emotions,identity,performance,self-awareness
Q080	THINK	Choosing your battles	2	youth	Someone in your class says something that is factually wrong and slightly dismissive about something you care about. You could correct them but it might start an argument. You should...	Always correct people — truth matters	Always stay quiet — it is not worth it	Consider the size of the error, the relationship and whether speaking will help — and then choose	Walk away immediately	c	Not every wrong thing needs to be corrected out loud by you. The question is: does speaking here serve the truth, or does it just serve your need to be right? What is the relationship cost? What is the outcome likely to be? Choosing which moments to speak and which to let go is a mark of real emotional maturity.	What will actually happen if you speak? What do you want the outcome to be?	20	think first,assertiveness,judgement,choosing battles
Q081	SIT	Recognising manipulation	3	youth	Someone keeps making you feel guilty for not spending time with them, even when you have good reasons and have been kind about it. They use phrases like you never care about me or you always choose others. What pattern is this?	Just being honest about their feelings	A guilt-based pattern that uses exaggerated language — always and never — to make you responsible for their feelings	Proof that you are neglecting them	A fair reaction to your behaviour	b	Language like always and never during conflict is rarely literally true — but it is emotionally effective because it makes you feel entirely responsible for the other person. This pattern makes it hard to maintain healthy boundaries because every limit you set becomes evidence that you do not care. Noticing this language is the first step to responding to the feeling without accepting the accusation.	Always and never are rarely true. What is the pattern trying to achieve?	30	situations,manipulation,guilt,boundaries
Q082	EMO	After being left out	1	youth	You were not invited to something all your friends went to. You find out after. You feel a hollow, heavy feeling. This feeling is...	A sign your friends are terrible	Hurt — a real and valid emotion that comes from feeling you did not matter enough to be included	Your fault for something you did	A reason to stop being friends with everyone	b	Being left out genuinely hurts. It is not weak or childish to feel it deeply — belonging matters to human beings in a deep biological way. The hollow, heavy feeling is your system registering that something important to it was missing. You do not have to pretend it does not hurt. You also do not have to decide immediately what it means about your friendships.	The feeling is valid. What you decide it means is still open.	10	emotions,exclusion,hurt,belonging
Q083	THINK	Saying less	2	youth	You are in a conflict and you have a lot you want to say. You feel the urge to explain, justify and defend at length. The most effective choice is often...	Say all of it — more words mean more clarity	Say everything twice to make sure they understand	Say the most important thing clearly and once — then stop talking	Say nothing at all	c	Over-explaining during conflict often weakens your position rather than strengthening it. It can look like anxiety, like you need to convince them rather than simply stating what is true. Saying the key thing clearly and then going quiet is extremely powerful. It puts the next move on them.	Say the important thing. Then stop. Let the silence do work.	20	think first,conflict,assertiveness,communication
Q084	SIT	Kindness that controls	3	youth	Someone is very kind to you — always there, always helping, always giving. But you have noticed that every time you try to do something independently, they seem hurt or step in to take over. This pattern is...	True friendship — they just care about you	Kindness that also keeps you dependent on them — controlling through care rather than through threat	Something to feel guilty about questioning	Only noticeable to ungrateful people	b	Controlling behaviour does not always look threatening. Sometimes it comes wrapped in generosity, concern and helpfulness. The tell is what happens when you try to be independent. If someone's kindness turns wounded when you do not need them, that is information about the function of the kindness. You can appreciate the care while also recognising the pattern.	What happens to their kindness when you do not need it?	30	situations,controlling behaviour,relationships,independence
Q085	EMO	The calm after the storm	2	youth	You have just been through something difficult — an argument, a scary moment, a hard conversation. Afterward, your whole body feels shaky and strange. This is...	A sign something is seriously wrong with you	A completely normal physical response as your body's stress hormones gradually reduce after a period of high alertness	Proof the situation was your fault	Something to hide from others	b	Your stress response is a physical system — it raises heart rate, increases alertness and releases hormones. Coming down from it takes time and produces physical sensations: shaking, strange tiredness, sudden tears or hollow feelings. This is not weakness. It is your biology doing exactly what it should. Rest and warmth help.	Your body was running very hot. What does it need now?	20	emotions,stress response,recovery,body awareness
Q086	SIT	Changing the energy	3	youth	The mood in your friend group has gradually become more negative — more complaining, more putting people down, more cynicism. You have noticed it drifting this way over weeks. You could...	Say nothing since you cannot change group dynamics	Go along with it since it is easier	Introduce something different — a question, a positive story, a different focus — and see if the energy follows	Leave the group entirely	c	Group moods drift. They are not fixed — they accumulate from everyone's small contributions. One person choosing to introduce something different — a funny story, a genuine question, a kind observation — can shift the temperature more than they expect. You do not have to announce that you are doing it. You just do it.	Groups drift. They also redirect. What would you add?	30	situations,group dynamics,positive influence,leadership
Q087	THINK	What I actually want	2	youth	You are about to do something to impress someone in your group. You pause. If you are honest with yourself, do you actually want to do this thing or are you doing it purely to be seen doing it?	It does not matter why — doing it is doing it	Doing things to impress others is always wrong	Asking yourself why you are doing something is a useful habit — acting from genuine choice feels different to acting from social pressure, and you deserve to know the difference	You should always do what others want	c	There is nothing wrong with wanting to be seen or admired — that is deeply human. But knowing whether you are acting from genuine desire or social performance helps you stay connected to yourself. Over time, acting constantly from social performance is exhausting and hollowing. Genuine choice — even if the choice is the same thing — feels different.	Would you do this if no one was watching?	20	think first,identity,choice,authenticity
Q088	EMO	When your face gives it away	2	youth	You are trying to look unbothered but you can feel your face going red, your eyes getting watery or your jaw clenching. You are trying to hold it together in public. What is the most helpful thing to understand about this?	It is a humiliating failure	Physical emotional responses are involuntary — they are not something you did wrong, and most people in that situation experience the same thing	It means you are weak	Everyone is judging you	b	Your body's physical response to strong emotion — flushing, trembling, eyes filling — is not under conscious control in the moment. These are involuntary responses, not performances. Almost everyone has experienced them. Trying harder to suppress them often makes them stronger. The most useful thing in that moment is to let the physical response happen while choosing what you do next.	Your body's reaction and your next action are two different things.	20	emotions,physical response,social anxiety,self-compassion
Q089	SIT	The reputation gap	3	youth	Someone has a reputation for being difficult or unkind. When you actually spend time with them one-to-one, they seem quite different. You should...	Ignore your direct experience and stick with the group's reputation	Report back to the group that the reputation is wrong	Hold both pieces of information carefully — what you directly experienced and what others have reported — and let your understanding be richer than either one alone	Never mention it to anyone	c	Reputation and direct experience are both real information — but they are different kinds of information. Reputation is what many people across time have experienced or said. Direct experience is what you specifically found in that moment. Good thinkers hold both and let their understanding be complex rather than choosing one or the other.	What does your direct experience add to what you already heard?	30	situations,judgement,reputation,critical thinking
Q090	THINK	Being the same person	2	youth	You notice that who you are depends a lot on who you are with — you are louder with some people, quieter with others, funnier with some, more serious with others. This is...	Fake and dishonest	Normal social adapting — but it is worth checking whether any version of you requires you to be someone you do not recognise or do not like	Evidence you have no real personality	Something to be ashamed of	b	Adapting to different social contexts is normal and healthy. You speak differently to a teacher than to a best friend, and that is appropriate. The question worth asking is whether any of your social versions requires you to act against your own values or to be someone you genuinely do not like. If so, that version is costing you something.	Which version of you do you most recognise as actually you?	20	think first,identity,authenticity,self-awareness
Q091	SIT	Who benefits	3	youth	Something has happened in your friend group and someone is telling the story in a very specific way that makes them look good and someone else look bad. Before accepting the story, it is useful to ask...	Why would anyone lie to their friends?	Nothing — they are telling you because they trust you	Who benefits from you believing this version of events?	Whether the absent person is really as bad as described	c	Asking who benefits from a particular version of events is one of the most useful critical thinking tools you can use. It is not the same as assuming someone is lying. It is recognising that all storytelling involves choices — what to include, what to leave out, what to emphasise — and those choices are usually shaped by self-interest. Understanding this makes you a better reader of situations.	Who comes out looking good in this story? Did they tell it?	30	situations,critical thinking,bias,stories
Q092	EMO	Anxiety as a signal not a sentence	3	youth	You feel very anxious about something coming up. The anxiety is telling you...	That the thing will definitely go badly	That you are weak and should avoid challenges	That something matters to you and your system is preparing for it — anxiety is a signal, not a prediction	You should cancel whatever it is	c	Anxiety is often misread as a prediction — I feel anxious therefore something bad will happen. But anxiety is actually your nervous system preparing you for something that matters. It is energy, not prophecy. Reframing anxiety from I am scared this will go wrong to my system is getting me ready for something important can genuinely change your experience of it.	Is it a prediction or a preparation?	30	emotions,anxiety,reframing,nervous system
Q093	THINK	Loyalty and truth	3	youth	Your best friend did something that hurt another person and is now asking you to cover for them or deny what happened. You know what actually happened. This is...	An easy choice — loyalty to friends comes first	A situation where your value for honesty is in direct tension with your loyalty to your friend — and how you handle it defines your character	Something you should avoid thinking about	Only a problem if someone finds out	b	Being asked to lie for someone you care about puts two important values in direct conflict — honesty and loyalty. There is no easy answer. But it is worth knowing that agreeing to cover for someone can damage your own integrity and often does not actually help your friend face the consequences of their actions. Real loyalty sometimes means not making it easier for someone to avoid accountability.	What does real loyalty actually mean here?	30	think first,honesty,loyalty,values
Q094	SIT	The silent treatment	2	youth	Someone who is usually friendly is suddenly not speaking to you. They have not told you why. You do not know what you did. The most useful first step is...	Panic and mentally review everything you might have done wrong	Ignore them back	Calmly ask if everything is okay between you, once, without pressure — and then give them space to respond	Tell other people what they are doing	c	The silent treatment — being shut out without explanation — is genuinely difficult because it denies you the information you need to understand what happened. Calmly checking in once is fair and direct. Then waiting, without escalating or guessing wildly, gives both of you space. You cannot fix something you do not understand.	Ask once, calmly. Then wait.	20	situations,relationships,conflict,communication
Q095	EMO	Contagious emotions	2	youth	You were fine before you arrived, but after spending time with a very anxious or very negative person, you feel worse yourself. What happened?	They infected you with something	Nothing — feelings come entirely from inside you	You probably absorbed some of their emotional state — emotions are genuinely contagious and our nervous systems respond to the people around us	You were tired already	c	Human beings are wired to catch emotions from each other. It is called emotional contagion and it is a real neurological process. Spending time with someone in a highly anxious or negative state can genuinely leave you feeling some version of that. Knowing this means you can recognise it and choose your response rather than simply wondering why you feel worse.	Where did that feeling actually come from?	20	emotions,emotional contagion,awareness,self-protection
Q096	THINK	Not making it worse	1	youth	You are in a situation that is already tense. You feel the urge to say something sharp or funny that will show everyone you are not bothered. Before you say it, ask yourself...	Will saying this actually make this moment better or am I just performing toughness?	Is what I am about to say funny?	Will this impress the dominant person?	Is this true?	a	Sharp comments in tense moments can feel like armour — they signal I am fine and in control. But they often escalate rather than de-escalate, and they can feel hollow rather than genuinely confident. The question worth asking is whether you are serving the moment or serving your image.	Are you doing this for the room or for yourself?	10	think first,de-escalation,self-awareness,social pressure
Q097	SIT	Reading support	1	youth	You are struggling with something and a friend sits with you, does not say much, but stays close. This kind of support is called...	Unhelpful since they should be giving you advice	Companionship or presence — sometimes being with someone without advice or solutions is the most helpful thing possible	Strange behaviour	Pity	b	Not all support comes in words or advice. Sometimes the most powerful thing another person can do is simply stay. Presence without pressure — sitting near someone, staying with them in a quiet moment — is a real and important form of care. Noticing when you need this from others, and when you can offer it, is an important social skill.	What was their silence actually saying?	10	situations,support,friendship,empathy
Q098	EMO	The reset moment	2	youth	After a really hard emotional experience, you notice that certain things help you feel like yourself again — a walk, music, drawing, food, time alone. These are...	Avoidance tactics	Your personal regulation tools — the things your nervous system has learned help it recover	Signs you are not dealing with the problem properly	Childish	b	Every person's nervous system has things that help it come back from high states of stress or emotion. Walks, music, creative activities, food, solitude, talking — these are not avoidance, they are recovery. Knowing yours is one of the most practically useful things you can learn about yourself. You cannot think clearly from inside a storm. These tools help you get to the other side of it.	What brings you back to yourself?	20	emotions,regulation,recovery,self-knowledge
Q099	SIT	When you do not know where you stand	2	youth	You cannot tell if someone likes you or not — they are warm one day and cold the next, friendly in private and distant in public. This inconsistency...	Means they definitely dislike you	Is probably a reflection of something in their own situation rather than a clear signal about how they feel about you — inconsistency is hard to read and often not about you	Is your fault	Is normal for everyone	b	Inconsistency is one of the hardest social experiences to navigate because it denies you reliable information. It is important to recognise that someone's hot-cold behaviour is usually about something going on for them — managing their own anxiety, navigating group pressure, dealing with something at home — and not a clear verdict on you.	Is their inconsistency really about you?	20	situations,relationships,uncertainty,self-protection
Q100	THINK	The choice to stay yourself	3	youth	You are in a situation where fitting in would require you to be unkind, dishonest or someone you do not recognise. The clearest version of strength in that moment is...	Fitting in, because belonging matters	Arguing loudly about your values	Quietly remaining who you are, even without making a speech about it — your actions speak without requiring an audience	Leaving every situation that makes you uncomfortable	c	The strongest version of yourself is not the loudest or the most confrontational. It is the most consistent. Staying who you are, without performing it, without needing anyone to notice — in a moment where the pressure is to become something else — that is what genuine character looks like. It does not require an audience. It just requires you.	You do not need to announce your values. You just need to live them.	30	think first,identity,values,character,integrity
